feature,value,0,1,2,3,4,5,6
mlp_1_0_outputs,0,-0.324345,0.55013436,0.3277283,0.26189533,0.42841303,-0.17540324,0.13987955
mlp_1_0_outputs,1,-0.9136108,-0.10660877,0.40409842,1.3851557,0.62452877,2.0020278,1.4582529
mlp_1_0_outputs,2,9.582804,5.502949,8.638628,4.403445,-7.2945538,-20.919321,-30.23232
mlp_1_0_outputs,3,4.0696754,3.53522,-1.0761319,-2.5604622,-6.153049,-11.309804,-10.5357685
mlp_1_0_outputs,4,-0.18434304,2.4518654,3.1010098,3.5832748,1.2182695,-4.234154,-14.669196
mlp_1_0_outputs,5,-0.18212554,1.6612343,0.09870922,0.56242985,-0.4618323,-0.13437144,-0.70423967
mlp_1_0_outputs,6,-21.692167,-13.026346,-4.4663,0.110013984,1.6808074,3.898383,4.0483265
mlp_1_0_outputs,7,-10.232316,-5.266715,-2.588575,0.21410522,1.1488626,2.990365,2.975479
mlp_1_0_outputs,8,-2.9550254,0.4373971,2.6699815,4.064555,2.3223872,-3.6124709,-4.0334315
mlp_1_0_outputs,9,-28.6759,-20.31288,-10.316886,-3.1600678,2.2527142,5.835563,5.5263276
ones,_,-0.69847363,0.08606804,-0.6315554,0.23441038,-0.13500544,-0.38753608,-0.20508964
positions,0,0.17594515,0.68248105,0.2998955,-0.1273012,-0.23895603,-0.090430036,0.46331057
positions,1,10.407366,6.756203,-1.0396688,-7.559368,-10.716489,-12.606175,-18.49022
positions,2,8.350609,9.874507,6.739458,-1.9527574,-11.983999,-20.15382,-16.31657
positions,3,-6.2898827,2.1849294,6.493753,4.5209646,0.36758244,-6.0956817,-7.0322747
positions,4,-25.871784,-10.339243,0.9609696,5.157895,6.4877844,2.7771602,3.456786
positions,5,-14.064954,-17.848215,-5.9056134,1.7627215,7.808794,12.197478,0.776968
positions,6,-17.997217,-20.075983,-6.951059,1.8363796,8.706939,11.545689,-0.6173659
positions,7,-16.878033,-30.408888,-19.161303,-7.52864,2.7992435,12.816751,10.579842
positions,8,-41.266,-55.31982,-44.796032,-26.061886,-6.536515,15.021346,31.552597
positions,9,0.33595657,-0.3949038,0.38425443,0.15447856,-0.05151967,0.26050615,0.50201994
tokens,0,13.23761,6.404968,1.7242866,-2.4130578,-5.890274,-9.634118,-11.125092
tokens,1,6.798869,9.016199,2.8201408,-1.8087564,-5.699362,-9.65684,-11.683736
tokens,2,1.0266746,2.7116575,6.2247095,1.279159,-2.5719464,-6.5748773,-8.493424
tokens,3,-3.2390661,-1.735824,0.90181756,5.105708,0.8273161,-3.1413743,-4.8972096
tokens,4,-7.4199886,-5.67091,-2.82108,0.97685546,6.490592,2.0809321,0.1055903
tokens,5,-10.028454,-8.390058,-5.8086834,-2.050373,2.958967,9.212168,6.4814415
tokens,6,-11.285949,-9.791127,-7.4157877,-3.96569,0.7583236,6.352284,15.576334
tokens,</s>,-0.18716116,-0.03476701,-0.11745687,0.80728775,0.47168696,-0.31577095,-0.29646632
tokens,<pad>,-0.47725874,0.7218229,0.30648422,0.1587088,0.36368746,-0.32027605,0.16315788
tokens,<s>,0.45828268,0.09639821,0.30935347,-0.22206832,0.49352598,0.3616221,-1.0609835
